Name,Detail,Price,Brand,CPU_Type,RAM_GB,SSD_GB
ASUS ROG Zephyrus Duo 16 GX650RS-004W,"PC portable 2-en-1 16"", AMD Ryzen 9 6980HX, RTX 3080, RAM 32 Go, SSD 1 To, dalle IPS tactile QHD+ 165 Hz, Windows 11, AZERTY",2499.95,asus,AMD Ryzen 9,32,1024
Asus ROG Zephyrus G16 GU605CM-DR7W,"PC portable gamer 16"", Intel Core Ultra 9 285H, RTX 5060, RAM 32 Go, SSD 1 To, dalle OLED WQXGA 240 Hz, Windows 11, AZERTY",2349.95,asus,Intel Core Ultra 9,32,1024
Asus ROG Zephyrus G16 GU605CX-DR4W,"PC portable gamer 16"", Intel Core Ultra 9 285H, RTX 5090, RAM 64 Go, SSD 2 To, dalle OLED WQXGA 240 Hz, Windows 11, AZERTY",2549.95,asus,Intel Core Ultra 9,64,2048
Asus TUF Gaming A16 608UP-QT070W,"PC portable gamer 16"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 165 Hz, Windows 11, AZERTY",1999.95,asus,AMD Ryzen 7,32,1024
Asus TUF Gaming A16 TUF608UP-RV097W,"PC portable gamer 16"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS WUXGA 165 Hz, Windows 11, AZERTY",2099.95,asus,AMD Ryzen 7,32,1024
Asus TUF Gaming A16 TUF608UP-RV120,"PC portable gamer 16"", AMD Ryzen 7 260, RTX 5070, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 165 Hz, Sans OS, AZERTY",2899.95,asus,AMD Ryzen 7,16,512
Asus TUF Gaming A17 TUF707NVR-HX020,"PC portable gamer 17.3"", AMD Ryzen 7 7435HS, RTX 4060, RAM 16 Go, SSD 512 Go, dalle IPS Full HD 144 Hz, Sans OS, AZERTY",3499.95,asus,AMD Ryzen 7,16,512
Asus TUF Gaming A18 808UH-S8010W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5050, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",2199.95,asus,AMD Ryzen 7,32,1024
Asus TUF Gaming A18 808UH-S8081W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5050, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",3899.95,asus,AMD Ryzen 7,32,1024
Asus TUF Gaming A18 808UM-S8077W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5060, RAM 16 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",4299.95,asus,AMD Ryzen 7,16,1024
