Name,Detail,Price
Asus ROG Strix SCAR 18 G835LW-SA140W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5080, RAM 64 Go, SSD 4 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",
Asus ROG Strix SCAR 18 G835LX-S9206W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 32 Go, SSD 2 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",
Asus ROG Strix SCAR 18 G835LX-SA012W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 4 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",1 599€95
Asus ROG Strix SCAR 18 G835LX-SA038W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 4 To (2 x 2 To), dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",2 749€95
Asus ROG Strix SCAR 18 G835LX-SA083W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 2 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",2 999€95
ASUS ROG Zephyrus Duo 16 GX650RS-004W,"PC portable 2-en-1 16"", AMD Ryzen 9 6980HX, RTX 3080, RAM 32 Go, SSD 1 To, dalle IPS tactile QHD+ 165 Hz, Windows 11, AZERTY",2 499€95
Asus ROG Zephyrus G16 GU605CM-DR7W,"PC portable gamer 16"", Intel Core Ultra 9 285H, RTX 5060, RAM 32 Go, SSD 1 To, dalle OLED WQXGA 240 Hz, Windows 11, AZERTY",2 349€95
Asus ROG Zephyrus G16 GU605CX-DR4W,"PC portable gamer 16"", Intel Core Ultra 9 285H, RTX 5090, RAM 64 Go, SSD 2 To, dalle OLED WQXGA 240 Hz, Windows 11, AZERTY",2 549€95
Asus TUF Gaming A16 608UP-QT070W,"PC portable gamer 16"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 165 Hz, Windows 11, AZERTY",1 999€95
Asus TUF Gaming A16 TUF608UP-RV097W,"PC portable gamer 16"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS WUXGA 165 Hz, Windows 11, AZERTY",2 099€95
Asus TUF Gaming A16 TUF608UP-RV120,"PC portable gamer 16"", AMD Ryzen 7 260, RTX 5070, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 165 Hz, Sans OS, AZERTY",2 899€95
Asus TUF Gaming A17 TUF707NVR-HX020,"PC portable gamer 17.3"", AMD Ryzen 7 7435HS, RTX 4060, RAM 16 Go, SSD 512 Go, dalle IPS Full HD 144 Hz, Sans OS, AZERTY",3 499€95
Asus TUF Gaming A18 808UH-S8010W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5050, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",2 199€95
Asus TUF Gaming A18 808UH-S8081W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5050, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",3 899€95
Asus TUF Gaming A18 808UM-S8077W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5060, RAM 16 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",4 299€95
Asus TUF Gaming A18 808UP-S9059W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS QHD+ 144 Hz, Windows 11, AZERTY",4 799€95
Asus TUF Gaming A18 808UP-S9077X,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS QHD+ 144 Hz, Windows 11 Pro, AZERTY",4 599€95
Asus TUF Gaming F16 608JH-RV086X,"PC portable gamer, 16"", Intel Core i5-13450HX, RTX 5050, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 165 Hz, Windows 11 Pro, AZERTY",4 799€95
Asus TUF Gaming F16 608JMR-QT084X,"PC portable gamer 16"", Intel Core i7-14650HX, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 165 Hz, Windows 11 Pro, AZERTY",5 999€95
Asus V16 V3607VH-RP039X,"PC portable, 16"", IPS, 1920 x 1200 (Full HD+), 16:10, 144 Hz, Core 7 240H, GeForce RTX 5050, RAM 16 Go, SSD 1 To, Windows 11 Pro, 1,95 kg, Clavier AZERTY Français",5 999€95
ASUS V16 V3607VH-RP075,"PC portable 16"", Intel Core 5-210H, GeForce RTX 5050, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 144 Hz, Sans OS, AZERTY",5 699€95
ASUS V16 V3607VH-RP091W,"PC portable 16"", Intel Core 5 210H, GeForce RTX 5050, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",3 599€99
ASUS V16 V3607VM-PL076X,"PC portable gamer 16"", Intel Core 7 240H, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS QHD 144 Hz, Windows 11 Pro, AZERTY",2 999€95
ASUS V16 V3607VM-RP080W,"PC portable gamer 16"", Intel Core 7 240H, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS Full HD 144 Hz, Windows 11, AZERTY",5 699€95
ASUS V16 V3607VP-RP037WS,"PC portable gamer 16"", Intel Core 7 240H, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS Full HD 144 Hz, Windows 11, AZERTY",2 249€95
Asus VivoBook 14 X1404VA-EB1146W,"PC portable 14"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1 749€95
Asus VivoBook 14 X1404VA-EB277W,"PC portable 14"", Intel Core 5 120U, RAM 8 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1 499€95
Asus VivoBook 14 Flip OLED Copilot+ PC TP3407SA-QL060X,"PC portable 14"", Intel Core Ultra 7 258V, RAM 32 Go, SSD 1 To, dalle tactile OLED Full HD+, Windows 11 Pro, AZERTY",1 149€95
Asus VivoBook 14 Flip OLED Copilot+ PC TP3407SA-QL118X,"PC portable 14"", Intel Core Ultra 7 258V, RAM 16 Go, SSD 512 Go, dalle OLED tactile Full HD+, Windows 11 Pro, AZERTY",1 699€95
Asus Vivobook 14 S1407KA-LY054W Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",1 699€95
Asus Vivobook 14 S1407QA Copilot+ PC,"PC portable 14"", Snapdragon X X1-26-100, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",1 599€95
Asus VivoBook 14 X1404VA-NK284W,"PC portable 14"", Intel Core 5 120U, RAM 16 Go, SSD 1 To, dalle IPS Full HD, Windows 11, AZERTY",2 299€95
Asus Vivobook 14 X1405VA-LY351W,"PC portable 14"", Intel Core 7 150U, RAM 16 Go, SSD 1 To, dalle IPS Full HD+, Windows 11, AZERTY",2 199€95
Asus Vivobook 15 OLED S1505VA-L1535W,"PC portable 15.6"", Intel Core i7-1355U, RAM 16 Go, SSD 512 Go, dalle OLED Full HD, Windows 11, AZERTY",1 549€95
Asus Vivobook 15 S1504VA-NJ2342,"PC portable 15.6"", Intel Core i3-1315U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Sans OS, AZERTY",649€95
Asus Vivobook 15 X1504VA-BQ2875W,"PC portable 15.6"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1 049€95
Asus Vivobook 15 X1504VA-BQ2888W,"PC portable 15.6"", Intel Core 5 120U, RAM 8 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1 199€95
Asus Vivobook 15 X1504VA-BQ2998,"PC portable 15.6"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Sans OS, AZERTY",
Asus Vivobook 15 X1504VA-BQ3089,"PC portable 15.6"", Intel Core i3-1315U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Sans OS, 1,70 kg, AZERTY",
Asus Vivobook 15 X1504VA-BQ3993,"PC portable 15.6"", Intel Core 5 120U, RAM 16 Go, SSD 1 To, dalle IPS Full HD, Sans OS, AZERTY",
Asus Vivobook 15 X1504VA-BQ4021W,"PC portable 15.6"", Intel Core 5 120U, RAM 16 Go, SSD 1 To, dalle IPS Full HD, Windows 11, AZERTY",
Asus Vivobook 15 X1504VA-BQ4352W,"PC portable 15.6"", Intel Core 7 150U, RAM 16 Go, SSD 1 To, dalle IPS Full HD, Windows 11, AZERTY",
Asus VivoBook 16 Flip OLED Copilot+ PC TP3607SH-RJ032X,"PC portable 16"", Intel Core Ultra 7 258V, RTX 5050, RAM 32 Go, SSD 1 To, dalle OLED tactile WQXGA+ 120 Hz, Windows 11, AZERTY",
Asus Vivobook 16 M1607KA-MB068W Copilot+ PC,"PC portable 16"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",
ASUS Vivobook 16 OLED X1605VA-PRO-MB2382X,"PC portable 16"", Intel Core i5-13420H, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",
ASUS Vivobook 16 OLED X1605VA-PRO-MB2383X,"PC portable 16"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",
ASUS Vivobook 16 OLED X1605VA-SH2001,"PC portable 16"", Intel Core i3-1315U, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Sans OS, AZERTY",
Asus Vivobook 16 S1607QA-MB085W Copilot+ PC,"PC portable 16"", Snapdragon X X1-26-100, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",
ASUS Vivobook 16 X1605VA-MB271W,"PC portable 16"", Intel Core i9-13900H, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",
Asus Vivobook 17 P1704VA-AU816X,"Bureautique 17.3"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",
Asus Vivobook 17 P1704VA-AU908X,"PC portable 17.3"", Intel Core 7 150U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",549€95
Asus Vivobook 17 P1704VA-AU909X,"PC portable 17.3"", Intel Core 7 150U, RAM 24 Go, SSD 1 To, Windows 11 Pro, AZERTY",649€95
Asus Vivobook 17 X1704VA-AU674W,"PC portable 17.3"", Intel Core i3-1315U, RAM 8 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",599€95
Asus Vivobook 17 X1704VA-AU750W,"PC portable 17.3"", Intel Core i7-1355U, RAM 24 Go, SSD 1 To, dalle IPS Full HD, Windows 11, AZERTY",649€95
Asus Vivobook 17 X1704VA-AU808W,"PC portable 17.3"", Intel Core 5-120U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",499€95
